5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
5.167,6.833,0.667,1.667,0.667,2.333
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
2.667,3.500,1.667,1.833,1.667,2.833
